,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
0,6,20.0,8.1e-05,1.82090594178494e-06,0.000277778,3.2991009027162803e-06,0.3611783620104536,3625.3575709130796,1.0523717392544772e-07,-619.0491244016209,-614.6519166932218,4.3780912620619676e-06,1.195864628437483e-07,-614.9587869299492,-610.56157922155,1.7349053407190284e-05,8.489073979237708e-07,2.5559871969062847e-07,-4.0509767802396025e-09,1.0311010619725005e-07,-476.8904724437166,-432.38413126252453
1,71,10.0,6.49e-05,4.22857142857143e-06,0.000369468,6.103205921361625e-48,34.22507245108069,3138.802811118184,1.2734472155141172e-08,-113.82427588176958,-114.44899747408542,7.273939205692421e-06,4.4511678275252275e-08,-106.31564230968056,-106.94036390199639,-0.00037693204245430354,5.3845967774147235e-05,-1.4088368270230376e-06,1.1918904052800358e-08,1.967713107092562e-08,-94.18614682610503,-92.81086841842087
2,79,14.2654,0.000148339,8.50257008888173e-06,0.00042961,4.409400337526875e-06,0.5388112295330081,2441.281042812841,6.167155774537397e-09,-206.06613174879692,-205.15837646981478,4.7252926716233244e-06,1.210514153730908e-07,-176.29635554158074,-175.3886002625986,4.8577113654371876e-05,8.508196047626643e-06,-5.8093816973087786e-08,7.014102788042123e-11,3.975830304707964e-09,-174.07740255550019,-169.95930690454188
3,140,18.0,0.0429,0.0010678004535147401,0.2495,0.0035663239773581898,-0.1112106691178692,3.0860680120793624,0.0005618007339096622,-49.6567368370144,-50.281458429330236,0.0004462005446129372,0.028326219499355147,-26.134361330437876,-26.759082922753713,0.03467937287192657,0.0009646011849822137,-1.3674543444144822e-06,6.145572770170267e-10,0.0003381330995832056,-35.67572014238458,-34.300441734700414
4,351,1084.8274,0.5441672710000001,0.00045921265535264804,6.788078704,,,,,,,0.0005065205138128125,1.87760717575309,-44.70500925855234,-41.57144194538207,-0.02269347287477484,0.000760419034749681,-1.586427397862381e-07,1.136943291743412e-11,0.4460759583118878,14.70786054412044,35.509264423142056
5,450,1.0,9.1e-06,5.6e-06,5.59e-05,1.1468327109910515e-05,-0.4185173492271777,3552.7756694907384,5.5944774556970646e-11,-146.39049329778712,-147.01521489010295,3.0786842109111956e-06,4.785246842105262e-10,-133.51243673368361,-134.13715832599945,6.623718414942886e-07,8.781334989217376e-06,-7.13916532892843e-07,2.0666526543092e-08,1.0304221438124346e-11,-139.5140991546899,-138.13882074700572
6,687,1.0,1.1599999999999999e-05,9.88193829478234e-07,0.00017361099999999997,6.758436368879122e-06,0.9067648759774025,9434.214824367205,1.859652257845509e-08,-1307.6781476445472,-1301.3951139578808,4.210721172175404e-06,7.720147587978123e-08,-1222.2715094824066,-1215.9884757957402,-7.98405380507326e-06,1.745529683152749e-05,-8.884444329431651e-07,1.4032876002339948e-08,1.821764196830623e-08,-1030.6405721558447,-909.2629321091849
7,691,1.0,1.1599999999999999e-05,1.95033099688473e-06,0.00025463,1.7990618736602324e-05,-0.3754374003488539,0.0,6.048555598384504e-08,-1236.9123484022575,-1230.6293147155911,5.416324102563812e-06,8.163817071017026e-08,-1218.9188080957024,-1212.635774409036,2.5942170894526084e-06,9.9779596134561e-06,-2.160151874209098e-07,1.5194577330527399e-09,5.789571295659106e-08,-961.2653995873186,-839.8877595406589
8,695,12.0,0.000685889,5.2253500000000004e-05,0.001376056,9.721743346494307e-05,-0.2252212029365612,0.0,1.374711787680531e-08,-92.55937278099287,-93.73105904369058,4.833613287339644e-05,4.259582977370624e-08,-86.90473696766495,-88.07642323036265,-0.0001680231702449736,0.00013022304422504643,-6.029403901552846e-06,1.1338102425737974e-07,6.334401673530442e-09,-84.2441566070216,-83.02528078215339
9,708,5.0,8.329999999999999e-05,1.2043800000000001e-05,0.00030092599999999997,1.3861074424094457e-05,0.3202766231699162,3248.3946517770523,1.3269658001477937e-09,-104.24904383335084,-105.42073009604854,4.702924340161165e-06,4.1038194575199404e-08,-87.09100270659019,-88.2626889692879,-1.59236428571437e-05,2.1726969132588313e-05,-5.481085236220485e-07,4.075249156355466e-09,8.2494250884808e-11,-105.9492667864281,-104.73039096155989
10,713,10.0,7.77e-05,8.37114640550492e-07,0.00021982099999999998,4.863341882183377e-05,-0.31879220754901455,4932.284478248519,4.501243830752571e-08,-624.8597396736405,-620.5577780601851,3.234321284883723e-06,1.4367917403625428e-07,-588.8797757513767,-584.5778141379212,4.773507786913953e-05,7.465687803469932e-06,-1.8507957625411087e-07,1.494247625123041e-09,4.503492428077651e-08,-486.8700684250182,-444.7184266994341
11,721,1.0,4.67e-06,1.245e-06,1.39e-05,6.835064900612859e-06,-0.11663407627038234,71702.86896036625,4.4598816565234754e-12,-161.5659501233307,-162.19067171564654,4.820616113252011e-07,1.4214553199052134e-10,-140.79557507523967,-141.4202966675555,3.3763471317561727e-06,1.6260208152310206e-06,-9.18452412197915e-08,1.5441353534503328e-09,1.4627202644987121e-12,-151.22763373055648,-149.8523553228723
12,814,10.0,6.78e-05,1.7872e-06,0.000518333,2.8264816771323714e-05,-0.4084484901821381,3.889115331379145e-05,1.3154716920226092e-07,-156.37012433242333,-155.77845060041466,6.367473367534712e-06,1.381464931975089e-07,-155.9295817253068,-155.33790799329813,-1.4853114792936943e-06,2.9692085192477218e-05,-1.521261519002156e-06,2.1494674234786052e-08,8.458700534372621e-08,-128.80349424777262,-125.6201467837553
13,920,18.0,0.2471,0.0101444444444444,0.9143,0.0039561317890610195,0.5332498907356549,1.103268346132281,0.00922146436254611,-32.86788539209089,-33.49260698440673,0.0017641276142712655,1.0442795162527845,-4.49059367836888,-5.1153152706847145,0.21688239393286388,0.006581976163360518,-1.8727249639025098e-05,1.5187184176026415e-08,0.038313927501611,-7.294945256258307,-5.919666848574142
14,39835,10.0,0.001205546,4.26404888888889e-05,0.004329917,0.00013028591345945004,-0.11326363367358702,0.0,7.381402561105023e-07,-123.58858818522052,-123.350263560181,8.782852546907015e-05,8.381339307235611e-07,-122.57223575238794,-122.33391112734843,,,,,,,
15,39836,19.9323,0.0005247930000000001,1.71776135897887e-05,0.0029044440000000004,3.0139421001445982e-05,-0.01886221310010818,160.7054696298441,9.816781866515928e-10,-224.44342666444916,-223.53567138546703,1.6408365716761633e-05,6.485198374011566e-07,-159.51158336981564,-158.6038280908335,5.004926408636658e-05,2.5421311235284306e-05,-7.948393808019914e-08,1.190062553893608e-10,1.002835154918111e-09,-187.85142720084397,-183.73333154988566
16,39837,19.9323,0.000255428,1.02265373196684e-05,0.0017788720000000001,1.6739049239746758e-05,-0.07075696797227046,111.38009184047688,1.1425106879984243e-08,-199.9003763828191,-198.99262110383697,9.861204137866561e-06,6.768972235788795e-08,-182.10916573099382,-181.2014104520117,-2.8019559424660662e-05,1.4843684775209564e-05,-5.132140908410213e-08,1.2333021359988755e-10,1.0498890255037587e-08,-164.36704301949635,-160.24894736853804
17,39838,19.9323,0.00012963,5.62803249364607e-06,0.001037037,6.138873004414878e-06,0.004436554350285814,173.9924552208936,4.680501523225912e-10,-231.8503075566404,-230.94255227765825,5.36338737366979e-06,6.789087555608808e-09,-205.10534378016996,-204.19758850118782,3.739928393440862e-07,6.2439955813712865e-06,-6.5771772000395915e-09,5.7616894040670765e-12,4.6456004659099024e-10,-195.54638321158882,-191.4282875606305
