"","ID","ResDensity","N_TraitValue","initial_a","initial_h"
"1",39835,10,0.001205546,4.26404888888889e-05,0.004329917
"2",39835,10,0.001064899,4.26404888888889e-05,0.004329917
"3",39835,10,0.001205546,4.26404888888889e-05,0.004329917
"4",39835,25,0.002561778,4.26404888888889e-05,0.004329917
"5",39835,25,0.002411097,4.26404888888889e-05,0.004329917
"6",39835,25,0.002009236,4.26404888888889e-05,0.004329917
"7",39835,25,0.001587306,4.26404888888889e-05,0.004329917
"8",39835,50,0.004329917,4.26404888888889e-05,0.004329917
"9",39836,19.9323,0.000524793,1.71776135897887e-05,0.002904444
"10",39836,40.1737,0.000950054,1.71776135897887e-05,0.002904444
"11",39836,60.0883,0.001321028,1.71776135897887e-05,0.002904444
"12",39836,80.3182,0.001646761,1.71776135897887e-05,0.002904444
"13",39836,100.219,0.001900111,1.71776135897887e-05,0.002904444
"14",39836,120.123,0.002180593,1.71776135897887e-05,0.002904444
"15",39836,140.338,0.002370611,1.71776135897887e-05,0.002904444
"16",39836,160.232,0.002569667,1.71776135897887e-05,0.002904444
"17",39836,180.447,0.002759685,1.71776135897887e-05,0.002904444
"18",39836,200.335,0.002904444,1.71776135897887e-05,0.002904444
"19",39837,19.9323,0.000255428,1.02265373196684e-05,0.001778872
"20",39837,40.1737,0.000483489,1.02265373196684e-05,0.001778872
"21",39837,60.0883,0.000702426,1.02265373196684e-05,0.001778872
"22",39837,80.3182,0.000893998,1.02265373196684e-05,0.001778872
"23",39837,100.219,0.001076446,1.02265373196684e-05,0.001778872
"24",39837,120.123,0.00124065,1.02265373196684e-05,0.001778872
"25",39837,140.338,0.001386607,1.02265373196684e-05,0.001778872
"26",39837,160.232,0.001514322,1.02265373196684e-05,0.001778872
"27",39837,180.447,0.001642037,1.02265373196684e-05,0.001778872
"28",39837,180.447,0.001778872,1.02265373196684e-05,0.001778872
"29",39838,19.9323,0.00012963,5.62803249364607e-06,0.001037037
"30",39838,40.1737,0.000231481,5.62803249364607e-06,0.001037037
"31",39838,60.0883,0.000342593,5.62803249364607e-06,0.001037037
"32",39838,80.3182,0.000472222,5.62803249364607e-06,0.001037037
"33",39838,100.219,0.000574074,5.62803249364607e-06,0.001037037
"34",39838,120.123,0.000666667,5.62803249364607e-06,0.001037037
